status,ball,soc_pin_name,net_name,candidate_signals,source_line,match_reason,interface_key,db_signal_name,db_device_pin_name,db_interface_name,dts_offset,mux_mode,linux_macro,result,confidence
OUT_OF_SCOPE,V17,VSS_P,GND,VSS_P,U1-V17 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
MATCHED,V18,GPMC0_AD13,GPMC0_AD13,GPMC0_AD13,U1-V18 AM6412-GPMC0_AD13 PASSIVE,soc_pin_name:GPMC0_AD13; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD13,GPMC0_AD13,GPMC0,0x0070,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V19,GPMC0_AD8,GPMC0_AD8,GPMC0_AD8,U1-V19 AM6412-GPMC0_AD8 PASSIVE,soc_pin_name:GPMC0_AD8; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD8,GPMC0_AD8,GPMC0,0x005c,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V20,GPMC0_AD6,GPMC0_AD6,GPMC0_AD6,U1-V20 AM6412-GPMC0_AD6 PASSIVE,soc_pin_name:GPMC0_AD6; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD6,GPMC0_AD6,GPMC0,0x0054,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V21,GPMC0_AD7,GPMC0_AD7,GPMC0_AD7,U1-V21 AM6412-GPMC0_AD7 PASSIVE,soc_pin_name:GPMC0_AD7; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD7,GPMC0_AD7,GPMC0,0x0058,0,AM64X_IOPAD,PINMUX_DTS,HIGH
ALT_FUNCTION_REVIEW,V4,PRG0_PRU0_GPO14,GPMC0_A3,PRG0_PRU0_GPO14,U1-V4 AM6412-PRG0_PRU0_GPO14 PASSIVE,soc_pin_name:PRG0_PRU0_GPO14; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU0,PRG0_PRU0_GPO14,PRG0_PRU0_GPO14,PRU_ICSSG0_PRU0,0x0198,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
ALT_FUNCTION_REVIEW,W1,PRG0_PRU0_GPO19,GPMC0_A6,PRG0_PRU0_GPO19,U1-W1 AM6412-PRG0_PRU0_GPO19 PASSIVE,soc_pin_name:PRG0_PRU0_GPO19; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU0,PRG0_PRU0_GPO19,PRG0_PRU0_GPO19,PRU_ICSSG0_PRU0,0x01ac,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
OUT_OF_SCOPE,W10,VSS_P,GND,VSS_P,U1-W10 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
MATCHED,W11,PRG1_PRU1_GPO0,CPSW_RGMII2_RXD0,PRG1_PRU1_GPO0,U1-W11 AM6412-PRG1_PRU1_GPO0 PASSIVE,soc_pin_name:PRG1_PRU1_GPO0; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO0,PRG1_PRU1_GPO0,PRU_ICSSG1_PRU1,0x0108,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,W12,PRG1_PRU1_GPO4,CPSW_RGMII2_RX_CTRL,PRG1_PRU1_GPO4,U1-W12 AM6412-PRG1_PRU1_GPO4 PASSIVE,soc_pin_name:PRG1_PRU1_GPO4; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO4,PRG1_PRU1_GPO4,PRU_ICSSG1_PRU1,0x0118,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,W13,PRG1_PRU0_GPO8,CPSW_RGMII1_RX_CLK,PRG1_PRU0_GPO8,U1-W13 AM6412-PRG1_PRU0_GPO8 PASSIVE,soc_pin_name:PRG1_PRU0_GPO8; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU0,PRG1_PRU0_GPO8,PRG1_PRU0_GPO8,PRU_ICSSG1_PRU0,0x00d8,0,AM64X_IOPAD,PINMUX_DTS,HIGH
